Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Children out of school, primary, female",SE.PRM.UNER.FE,Seychelles,SYC,..,235,..,..,..,..,..,..,..,196,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Sierra Leone,SLE,..,..,..,..,..,..,..,6479,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Singapore,SGP,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Slovak Republic,SVK,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Slovenia,SVN,..,1426,1320,1250,1303,1415,1338,947,1038,896,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Solomon Islands,SLB,..,..,7750,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Somalia,SOM,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,South Africa,ZAF,..,189973,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,South Sudan,SSD,..,..,..,..,..,..,564289,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Spain,ESP,11614,178,1837,819,1040,2002,2011,1809,3529,11486,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Sri Lanka,LKA,..,..,32398,40517,61320,49606,50364,49055,39088,31010,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,St. Kitts and Nevis,KNA,..,..,311,556,216,455,367,475,526,568,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,St. Lucia,LCA,475,1389,789,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,217,..,307,578,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Sudan,SDN,..,..,..,..,..,..,1507743,1298832,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Suriname,SUR,..,..,3840,2277,1388,..,736,..,4740,2378,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Swaziland,SWZ,20937,30017,14732,..,..,..,..,..,22729,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Sweden,SWE,1193,3091,11752,5325,2741,2638,2155,1486,719,525,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Switzerland,CHE,34802,745,4636,2758,1688,1561,1047,869,251,278,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Syrian Arab Republic,SYR,100509,..,17477,16974,19289,..,..,..,282256,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Tajikistan,TJK,..,31819,17651,13448,12664,11099,11301,9006,9465,9736,5605,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Tanzania,TZA,1167515,1494911,..,174733,..,446610,..,679855,841324,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Thailand,THA,..,..,184700,165834,116198,..,..,..,..,196427,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Timor-Leste,TMP,..,..,..,21877,12505,3601,1581,2656,1548,484,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Togo,TGO,152584,..,73547,66111,..,..,..,..,..,57537,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Tonga,TON,506,..,..,..,..,..,..,..,190,104,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Trinidad and Tobago,TTO,7924,1046,2347,1383,1996,977,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Tunisia,TUN,66869,35210,12729,11539,8260,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Turkey,TUR,..,..,..,102641,168761,140732,167772,217557,189760,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Turkmenistan,TKM,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,15,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Uganda,UGA,..,..,..,..,173220,288896,197645,..,180660,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Ukraine,UKR,..,..,96705,88523,73221,38242,5449,..,..,18974,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,United Arab Emirates,ARE,..,..,4381,..,12287,7437,10742,7055,7475,6748,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,United Kingdom,GBR,..,377,42954,19799,26465,11728,4775,5557,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,United States,USA,139641,268623,249321,239583,340525,575966,636727,706575,886724,672446,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Uruguay,URY,..,..,2823,1435,1295,..,..,..,872,..,..,..
