South Africa,ZAF,,189973,..,,,,,,,,
South Sudan,SSD,,..,..,..,..,..,564289,,,,
Spain,ESP,11614,178,1837,819,1040,2002,2011,1809,3529,11486,
Sri Lanka,LKA,..,..,32398,40517,61320,49606,50364,49055,39088,31010,
St. Kitts and Nevis,KNA,..,..,311,556,216,455,367,475,526,568,
St. Lucia,LCA,475,1389,789,..,..,..,..,..,..,..,
St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,217,..,307,578,
Sudan,SDN,..,..,..,..,..,..,1507743,1298832,..,..,
Suriname,SUR,..,..,3840,2277,1388,..,736,..,4740,2378,
Swaziland,SWZ,20937,30017,14732,..,..,..,..,..,22729,..,
Sweden,SWE,1193,3091,11752,5325,2741,2638,2155,1486,719,525,
Switzerland,CHE,34802,745,4636,2758,1688,1561,1047,869,251,278,
Syrian Arab Republic,SYR,100509,..,17477,16974,19289,..,..,..,282256,..,
Tajikistan,TJK,..,31819,17651,13448,12664,11099,11301,9006,9465,9736,5605
Tanzania,TZA,1167515,1494911,..,174733,..,446610,..,679855,841324,..,
Thailand,THA,,,184700,165834,116198,..,..,..,..,196427,
Timor-Leste,TMP,,,..,21877,12505,3601,1581,2656,1548,484,
Togo,TGO,152584,,73547,66111,..,..,..,..,..,57537,
Tonga,TON,506,,..,..,..,..,..,..,190,104,
Trinidad and Tobago,TTO,7924,1046,2347,1383,1996,977,..,..,..,,
Tunisia,TUN,66869,35210,12729,11539,8260,..,..,..,..,,
Turkey,TUR,,,,102641,168761,140732,167772,217557,189760,,
Tuvalu,TUV,0,0,0,0,0,0,0,0,0,15,
Uganda,UGA,0,0,0,0,173220,288896,197645,0,180660,..,
Ukraine,UKR,,..,96705,88523,73221,38242,5449,0,..,18974,
United Arab Emirates,ARE,,..,4381,..,12287,7437,10742,7055,7475,6748,
United Kingdom,GBR,,377,42954,19799,26465,11728,4775,5557,..,..,
United States,USA,139641,268623,249321,239583,340525,575966,636727,706575,886724,672446,
Uruguay,URY,,,2823,1435,1295,0,0,0,872,,
Uzbekistan,UZB,,,38584,57326,67202,91492,91483,0,,,
"Venezuela, RB",VEN,,193177,111800,141427,111478,98313,98830,121854,132355,116395,
West Bank and Gaza,WBG,,18342,34039,30161,26775,25526,22794,17446,15835,15989,
"Yemen, Rep.",YEM,,,,561850,0,492662,0,435504,423470,,
Zambia,ZMB,0,369246,103029,0,125226,164998,117723,95905,147141,0,
Zimbabwe, ZWE,,187415,0,0,0,0,0,130366,172963,,
